panel,data_type,pair_id,cis_refcode,trans_refcode,cis_value,trans_value,unit,analysis_source,model,metric,value,ci_low,ci_high,direction_concordance,n_pairs,paired_randomization_p,n_graph_clusters,relative_improvement_fraction,descriptive_sign_probability
B,relation_identifiable_pair,b8eda66964d82a482cc2ae4d60515539e64691352f18c16890393b249122311e,IGOROL,IGORUR,9.04360008239746,5.3531999588012695,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,bc3f7efb293e02c6af2bd89d7fd25c46b7daca5b4291d53332c730fdd0462d50,SUHQIW,SUHQOC,12.954299926757812,0.0023999214172363,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,c1a30dfcee9e5f6d5faaa5eb39721279e1cc523b436da79ab8cb9f6bb63af12a,FISXAI,FISVIO,11.14169979095459,0.0946998596191405,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,d6e27d0772f079c33b4d537ff589ebc57bff8e99a9ffbe6ac26caf99b56628b4,YASKUA,YASMAI,13.517800331115724,1.0776000022888184,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,d78c5e8fea956d823ceb62bdaef5c7ea3b598fda3450d53c296009253cc32455,CUCMOE,CUCNAR,9.913100242614746,0.6329002380371094,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,dac5d4a1a695921729c338520a8e3397042ed53883dd84c0638729311e10ec07,SOGVEQ,KEZWAP,3.083199977874756,0.0008001327514648,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,e88d1897fb507777fed5300d9811ff6720595168d7cad16c0c0f79a48f522f73,EFUTUV,GOHYUY,9.975799560546877,0.0012998580932617,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,f15eeafa4232b573f318937553772966f46fc0b07b5c2d9d9b3c4dd77a285cc5,GUGZEN,GUGZIR,8.101200103759766,4.443399906158447,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,fd9a981d4cffeb017d9f6c697e5c9cbdf0cb15c77b139f939d6d884e7cdfd7ab,HITKIE,HITKOK,13.00879955291748,3.827199935913086,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,ff022f20281a3c540f628f3bf46ad44d250bd1737690f3d84165e6219b9517f1,VIRXOK,VIWPIB,4.425000190734863,0.0125999450683593,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
C,automatic34_model_metric,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,gine_wide,pair_difference_mae,5.868914682507984,4.708608488331309,7.05522984645479,0.5,34.0,,,,
C,automatic34_model_metric,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,coordrep_relation_masked,pair_difference_mae,5.2184893523945535,4.141020165237726,6.33382362659071,0.7941176470588235,34.0,,,,
C,automatic34_model_metric,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,coordrep_relation_full,pair_difference_mae,1.3278990306106262,0.9972591629799672,1.6844527239892984,0.9411764705882352,34.0,,,,
C,automatic34_model_metric,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,schnet_3d,pair_difference_mae,0.8001627407821955,0.5689396567788777,1.0644434606327722,1.0,34.0,,,,
C,automatic34_model_metric,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,visnet_3d,pair_difference_mae,0.4814681819840974,0.3516972074321674,0.6175619570063609,1.0,34.0,,,,
C,relation_hidden_vs_full_contrast,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,coordrep_relation_masked_minus_full,,3.8905903217839257,2.8638378268947804,4.944537213736889,,34.0,4.999975000125e-06,,,
D,clean44_gap_model_metric,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,gine_wide,pair_difference_mae,0.5355942953716624,0.2756507917728508,0.8663582677543163,0.5,44.0,,31.0,,
D,clean44_gap_model_metric,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,hybrid_mask_shape,pair_difference_mae,0.3598239665681664,0.2451161135848293,0.4844018609061105,0.6704545454545454,44.0,,31.0,,
D,clean44_gap_model_metric,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,hybrid,pair_difference_mae,0.2454443745540849,0.1951317427184445,0.2886434391470148,0.8409090909090909,44.0,,31.0,,
D,clean44_gap_model_metric,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,schnet_3d,pair_difference_mae,0.3746987635439091,0.2125927743119324,0.559082695500382,0.7727272727272727,44.0,,31.0,,
D,clean44_gap_model_metric,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,visnet_3d,pair_difference_mae,0.3907315740079589,0.2441318906830381,0.5500198718914011,0.7727272727272727,44.0,,31.0,,
D,shape_hidden_vs_full_contrast,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,hybrid_mask_shape_minus_hybrid,,0.1143795920140814,0.0173120370481766,0.2159324706594148,,44.0,,31.0,0.3178765247489789,0.0092995350232488
