selection_order,cn_selection_rank,selection_score_sha256,mol_id,fold,metal,cn,graph_sha256,source_member,source_payload_sha256,candidate_count,repeated_payload_group_sizes,legal_ligand_group_sizes,donor_rank_orbit_sizes,in_general_n1000
17,12,00aa0d50d239c040e0fd1fc4b568a98f1d7ff455c54d70414f886055339c2af9,ZOJBUY,4,Zn,4,94cac00ffa2a86a0aea3be51a7d5c26c72e70b8db7088558091cbe6691d3054a,xyz/ZOJBUY.xyz,628aabb45812bc58b3eea29f01bfa817b741272a24a452ff4e6210dd7b34871a,6,[3],[3],[],False
18,5,00aee037e990ddbcce8d8d2918f3e4280fb417594247704fcc01b52033358e48,SIWRAS,1,Ir,6,bb6e6e7ff18a9b644d237cfeaf2732a88d96a4596b32ee058b7b2e9b9ba12398,xyz/SIWRAS.xyz,cff1a5fc7951000a1b1e1cb7f490068eaa75bfa3815b4987fe35b0d7d1906314,2,[2],[2],[],False
19,13,00ba92ceb089897f0f829e8b3a27ce8c40b2e2590bc018675eceb934406471ef,QULLIU,2,Pd,4,4fac6b12e4a5874bc9079d7c0a00d9edde60046d5740590b3631668323b7dbf3,xyz/QULLIU.xyz,202273a22c2f3d559cdc83880ec94e1b4362edfbd44f2661457d3c44b3afe87d,4,"[2,2]","[2,2]",[],False
20,6,00ca4fbd572d9368eef9488951c7c4fe87153f81780df7b4a2bcd68184bfe2a6,WOMVUQ,4,Pt,6,9aeb3e57b12a4e12c6074f0bf72c0efcd332b8436a3fe5899e1bc073b632ba6c,xyz/WOMVUQ.xyz,3a49df9fd262ec7b0d8c39ee0e336fa974be35395fbc640db45ace89d8f93a71,6,[3],[3],[],False
21,7,00d3ef0811e9156afd7295951f53afa7e192b46bcfb2b8990bbf88d41a532b93,AFOYUR,0,Zn,6,4dcb20370e4bc3cea57a6fa84613800be23020d1f36363876ea92c8f46f1f00d,xyz/AFOYUR.xyz,6572880e5eb7ca860e5e0fe892c73a6dedc3577a80cafb450123b0024abf7acd,2,[2],[2],[],False
22,14,00dc640d57d0ee447f95629c6afaebba22ceafc5d71dd3ef7f564f0920a2c54a,DUMXAN,4,Ni,4,3f60fb8777564372edd69828dde225fb1a7ad37fd943beb18354356d7d8eb2ee,xyz/DUMXAN.xyz,4414427f913f9170a0cae4e2347e41a4dcf7520089de9ffbeaf6ca7aa87275db,4,"[2,2]","[2,2]",[],False
23,15,00df6389af0112525b466312cc2d2b12f023e59e273c844e64ba5a420effd616,OGITIJ,2,Ni,4,3320405022b9ff393183a3f52f48e74f33fede1eecaea367ef307116c36fb762,xyz/OGITIJ.xyz,c0d02c99a890a0afcb8a0e9746ce4eb9ef3a265932d02ee3d51645562b76b2cf,2,[2],[2],[],False
24,16,00e6f4ba90666fdc54ddf6a3f397f142d2aa9bce916621f83199001ad7ef4266,XAFFET,4,Ni,4,42f41f3daf7b27df53804a36d7e5ec1a5460f89467cd06bb5b918e059c1d61dd,xyz/XAFFET.xyz,c96e1093f17d11e12a453582eab8cb366a24ca4a47b0be70e87294456687ec1e,4,"[2,2]","[2,2]",[],False
25,17,010422a6aba8e5213bf956c94d17f763fd5efa64f1983a6422a9ba669e81af3a,YUWNEK,0,Pt,4,db1ee5a36709beed46b795223d22f3a628021c858933f6ad9a8bb419e396fc4c,xyz/YUWNEK.xyz,2d7a471a7d9a0c7ab705884638d1d3fe1b3811f40e2b6b952a11e743c6fed6b2,2,[2],[2],[],False
26,18,010e246f8264a2b6caaf6125f4392896c7df2d34d1d5d094179b797bbdb22b76,XOMFUA,4,Pd,4,8b0ba37284f7cabdf55e828edbf42c3540e79ebd3b8704e051b6c46427591b65,xyz/XOMFUA.xyz,0c36118340177d7221fb47231c79684a565373a6903958411420540e8a09471d,2,[2],[2],[],False
27,8,011603c674ef2e22cad6f5b173e0255f126416af19c3d71583ac9091a9de89d3,JILSUS,4,Fe,6,48d884a962b908ed4fbb44bf64f5049aecff8c06503bf48412954d6aafb27764,xyz/JILSUS.xyz,0fe95716e3410aa8f8f7d6158c93d68874c61d53b0bb459780f1b410659dbd17,4,"[2,2]","[2,2]",[],False
28,19,01193e79670df807ef6c8d02c9054316535542ab58716340e4819387133ebb96,QIYVUP,3,Pd,4,f8665ecac762c28fc6aba887f0241d387b8a015adcea064c1965801869cc0f56,xyz/QIYVUP.xyz,c2c0e0b55d37c85070d6c0dcb2d5e37a1f21e664e45534d6da51634968d67fb3,2,[2],[2],[],False
29,20,011d330af021d0b495321e58593b00891c8540bd8eedaa2f2af6ba6d514dc18d,GUZTUQ,4,Pt,4,cfdd61c49bd4dd0318d744a0c0306b3c3887b6788da8cce619fef157db3d994a,xyz/GUZTUQ.xyz,110f351825dd273dffa07b421613e8031d9da88b8238d104d53518dd7e7f5adb,4,"[2,2]","[2,2]",[],False
30,21,011dfe910b869b0922155412c8b04b70250a7b0ad559da100d7a114a8a7a771b,KUFNOP,1,Pt,4,5d42df778af553290f86a586c95c3b57761bc99b071401a5865f32f3ae1f207b,xyz/KUFNOP.xyz,86521b6216dfc558adf955876df019561ca9dc5f8424d21d29506bc19fbbf653,2,[2],[2],[],False
31,22,0122ed79bbd5d03335e98b91c79d8f5baa6aa8255e22739322adb8c813fd6a55,QUNYED,0,Pd,4,748968c6d0055632b023434e12838655d09b9897888a4b9b4a376262d4f1b837,xyz/QUNYED.xyz,ca9cf606a5fe8910e3a3bd87d09bfe2cc761c778d699ecf6f0e8db71f1703b50,2,[2],[2],[],False
32,23,01499b3701e9221497dff5733a26e908333c85ede9bce13a9deddcebe4710103,DACDER,1,Rh,4,256118dbce5bbfb8630edc3b471ed3172107aa417d7dcc72c008c517d9c76614,xyz/DACDER.xyz,965cb7882848cb47c008753eda35a6f2c852c3821c9aa45682bb228042a9635c,2,[2],[2],[],True
33,24,015b914de9af50c76123121163121060343c45c44246f8601148ecee73ce201e,UGANOH,1,Pt,4,a7c85ff44b58a9fc0aab9cb7ae826360275c6c53e3934e8ce865cc3a9dea2a54,xyz/UGANOH.xyz,1e9e174145f0db854f09ff8c6e0fd9bbbc9a72f05c7bf951fde3fe0c203cee7a,2,[2],[2],[],False
34,9,01627e9b80d89a08194e416a939fb5682b074cf60ba3984c532dfe18d9abf7ac,INILUP,3,Zn,6,d7717254ef0906d55be628d3537b23d621b7ad978a5b7b37410f65c42d64c757,xyz/INILUP.xyz,934fa1d65b72645a7881938e3bbd49af7348ae2db992c06f2fcc614cc6343495,2,[2],[2],[],False
35,25,01698ff85120aa87375bfc04c7cee1066f91c44c79c06f7927b609f01ebc4e26,SOCDAP,0,Rh,4,56eee21258b4c25ed28f372054eb5bc6bc10292f61f8632871b980e8c22d9d89,xyz/SOCDAP.xyz,25761331e33aa609622a3596a05505f79234574818f56043daf50803df0d0cf2,6,[3],[3],[],False
36,26,016b4a73dcd57b6a189a7fc78ea04d0c178d02d9d7bcfacafcb339a4a5bdcc3d,XATXID,4,Pt,4,b993158c07239778f7549ba88c9331f93abe4d431a1d13761ec6cfe343e1b144,xyz/XATXID.xyz,3325df58c797ee4b6e5e121a02bef5477052c6cdf8f30359f6822feda1e2357d,4,[2],[2],[2],False
37,2,016c7c39f6784e478755ef98ca9acc3872bd2cc362a6fb308a2b171da6f8e9ee,PYZTCI,4,Fe,5,55cfd4471327bedd4e936bc228069d7e5bbbfb39b8ee84f0f45ed4dd44b92042,xyz/PYZTCI.xyz,8ed0175f282c8f1d050f4d37a1b8e770ac7ad20b53244fde1ee8a3d9f2c51e3e,24,[4],[4],[],True
38,27,0197713fb586b5ce2ee59d274416b829fe4219504b457f64681b380eb41dd882,ZOJYEC,0,Pd,4,10e272dec4287c74d01e54ea2b72cd88bac0db679af1195eccda0d1942c47e63,xyz/ZOJYEC.xyz,9316ddd79ef8db929f577094d082ced47886394d460931e1a4e629c5c1e3c59b,2,[2],[2],[],False
39,28,01a5721528355c38e406a5e869b032749e6133aa0c8465467f5f0faeb08ff113,SUNMIA,2,Pt,4,cd2856794ee33665212dfce5c1423383d0452d8b70bf5b482a061618b913c5bd,xyz/SUNMIA.xyz,7607ee57b4b891368d3a04acf46e564244bb22fe48703b3d4eed4e915da3990f,4,[2],[2],[2],False
40,3,01a6e24e80892e61c20e649aa5c0e52a4ef52baf2f5045829368cd7925dd06e8,BIYJIC,2,Ir,5,6992dce51bfbaf12f0d04f201308c2140ee3b0c0b8817c2a3dca3d955ec20c5a,xyz/BIYJIC.xyz,b02b4865c6ec4e5832e23a639b09321149b7611e2c391711a8eeccb13fe5ab88,6,[3],[3],[],True
41,29,01b1cb8334e145af992f7ddf5cfe5651b44e8b71d2dea38e53ebac4325d4f1f7,FUDKAR,3,Rh,4,1d554c4c38e998dbf1f7e82b0bbc2ed18f2f5428156c922ec5c5219501a994d2,xyz/FUDKAR.xyz,40c29a2eb58d47b14dc84b3bea4969b7f7d197274e7c47aa8bafd4fd4811f39e,2,[2],[2],[],False
42,30,01b49bafbbc843ad48f5ad79495a6fa174bc65634f2ab31fdefab6ac633bd6b2,MULQIU,4,Zn,4,053acd652c9567f69bb4fbd908674403e7ef04ca562c54e2aea90a87b65a1da7,xyz/MULQIU.xyz,d8690c4bfaf309d49db3d0ae0636c6d0b7aef5ebf8daafe651f31e3727ba168b,4,"[2,2]","[2,2]",[],False
43,4,01bb4b229be228b138046bf4684bfb3d3203b9dd8d4ccc1452ec4292affe27d6,MAHSOG,2,Zn,5,113fdb2280a0421233f40c58b6bea1e487121a770ee36d65ff3101d96b82452c,xyz/MAHSOG.xyz,48977e26f9189e23003f2aac6c2391efd2d29fd60c53d318b1eb3229b78917e0,2,[2],[2],[],True
44,31,01c73f3551603dc0751f4b4164062e4f1164ac05200d09b323243772d3aad616,ICAREJ,4,Pt,4,4a1526e0d24add2f3c3ee271fa7ce75a58e2c7074d03e3cd4ed181fe780a5e01,xyz/ICAREJ.xyz,1cc145899e1645621247af87889bcc1c55be271c63017915297edb6434fd7a87,2,[2],[2],[],False
45,10,01ce85857532291d3e984e73eaff2a23eb57821817c9d04ab2e37d38fa7ce5ad,WIXMAT,4,Ir,6,923aa82024fddee2202f6ae53e30e68dec101a46f0d7bf679e0c96835abf2247,xyz/WIXMAT.xyz,b008599a853b3f19b15ee58a0fad7ea862e50dad97925dbd380bb8ff3d9e5b97,6,[3],[3],[],False
46,32,01d3bbc3cb3ad52a9775509990a88e22963fd1e97b8600544bb66ae67867b1bc,HATTEB,3,Pd,4,f93037017e3594a2df06f70ea638773a16f680f3c53c6d33423af2962033b6e0,xyz/HATTEB.xyz,b7e4339d40932dd3553658620c9e6f88675f5c419559341214b7ff58baf9578e,4,"[2,2]","[2,2]",[],False
47,33,01f8bfafa67dd98e0ae72e932e09f15dcd2ae6b9b7497236f3ead1acd617147c,ZADROP,2,Zn,4,68dbe24d374c3e7c6daf0959afda8db47368c796f824ba526f2ad6113c3fd2aa,xyz/ZADROP.xyz,2093c1e1694db9deec4d6aca0f67f4f0f5650ed221506c223d481e69026f790b,4,"[2,2]","[2,2]",[],False
48,34,01f8f537255a36f31a4760ecc59208b4f48ec07baa8f53c83f6bddddf02c139e,MOBBEN,4,Ni,4,2d28fcf1bb2005dacff24603e24d9ac909ec8c5f0807269d4a5fc318598edeba,xyz/MOBBEN.xyz,b3fe3d2177d1d487a4b94c84f4f60b1e6751172d3d64b170abba539a420ed7a3,2,[2],[2],[],False
49,11,01f9da1287e806b986a774cfa574ad5d4a6e82f94ae461b1e5db1d2dcb2a560f,OPOGIK,1,Ir,6,6fa6f821d7ee5badb13967668e7f73e6dbb98029ff7025c31ae92de74bcafc3b,xyz/OPOGIK.xyz,740aef9e6c7c60cd57db9a5ed877c35eeec1a34fc84c9894e7a00ed50fbc9397,2,[2],[2],[],True
50,35,01fa26ed1800076d9473dcf69c2f7f9309d4d8b4daa2fe87eb932d6d3a1cf381,XOVFIZ,3,Pt,4,cd1c44af4b52811e4d655fa5d7a86a60943a8132841bfb936b6b429b65306184,xyz/XOVFIZ.xyz,887907c1d66bcb21b281f8bb7b352bffa3a729e15465966a77abcc50ff1554a4,4,[2],[2],[2],False
51,36,020697794af7e1ec155562b9e0faf714842bbff0712bcab6aced3c6198eea993,PIGLID,0,Ni,4,484eeeb0f8109ba9dfc23aff5cd8ab029619d2cdddb9827b996235bd4dea5503,xyz/PIGLID.xyz,a2e36f6258006bbd65147353dcea1185a091d816143b197708a60da141dbc672,2,[2],[2],[],False
52,37,020971b33da5a4b5c4a22d30911349c2d94ed9b1d5f9d76807c798455bc13550,PASPEF,3,Zn,4,621ab75211a690ba3a9f0b0e17b8b75577c773e292f9ecad4275b21547cd997f,xyz/PASPEF.xyz,972863a0d0ff59cc9a9f388e1c04994590c5fbb7ec6e139566390d0508624452,4,[2],[2],[2],False
53,12,020eb4ba565ba9ed2a28d60c1befd11d0384b0f26521432342ca44db3065e4af,ZAVVIE,0,Pt,6,135c3911d58076f0c10c0ab9ee2c3734ac103b78c6b89b6f67696a8b6b3dcd57,xyz/ZAVVIE.xyz,4ef699cc76aae94786390efb8116f30cbcde644c38d737173608fb2148a99faa,2,[2],[2],[],False
54,5,0212ebf858f9bb82dcca612684402db5e1cef5edfe448b6a7aa525bc062e2ea5,GOTYET,1,Fe,5,4cab1193bb802f307e85b1a0d8a5e33a296e2bca43d99d5001c23945a8d652da,xyz/GOTYET.xyz,82c57af80a3d89319ec5ec95ad22a923f673de603069072f3debf9489ba00d91,2,[2],[2],[],True
55,38,0216eca912226cf902d2daf834b847d7a40c40c834a29858731af8572260b96e,YIKDEC,3,Fe,4,912b486e2758ff35752db2a7e4d462453de0c85e4efc479b34e9f7f1efadc17a,xyz/YIKDEC.xyz,1f31a96a4860a6140d95146697ae8df729ec2b22d4e76a3f95aef123245a930a,4,"[2,2]","[2,2]",[],False
56,13,021f76fa6100da98e9d295f8b94a415b8a894cb7cb5369a170165f34983c2469,UGUCOO,2,Cr,6,0ed23c81955c6b68c3e07b26f378d9df023318163f6481040310ce1d16a7b8fb,xyz/UGUCOO.xyz,b0b7356565de752714d25792bccb733c8577cff49f7ad754ce3f635c6e150794,120,[5],[5],[],False
57,14,022f2da230982498ff05b8964ec99203a61ca4f329b20e44d6b97c407e41474f,OTAGIB,2,Fe,6,c289c7ba495b070a82a6c30f31739298ca4b24c825a5c7479d26614d853dd40d,xyz/OTAGIB.xyz,02a9a54792758bade8ea37624de1e97acfe0096c3a6635e781d53be555eae2d0,8,"[2,2,2]","[2,2,2]",[],False
58,39,026bb4794f9134d33b27cc4266ccedbf8375fe88e77abfdd74642ff367727ced,WECHAQ,4,Pd,4,6f2d29812920063a0ad8b53c4284ca2c10427f38841b224b3af1387ade139d27,xyz/WECHAQ.xyz,7514b1c033ffbba76467883763367b5bfcf97f019326a4c88b2f5bf89e3f12ba,2,[2],[2],[],False
59,40,02712430db3902f78da2165782420d5c99eb929493a25517cd7d1ddaed66fa5f,DUXHEL,4,Pt,4,142b909368828d5735ccc8aa3ef3d24470d47e7126df59a452e3eafff976c595,xyz/DUXHEL.xyz,db5e07dd18ca8a459b3ed02f8bd8f0b8f6ce230a222f849f59df1df24194f5a9,4,"[2,2]","[2,2]",[],False
60,41,0272c1d9632b9becb2ba74feb82bdab169a0a6c93069b9b338e6431caf025dd2,OKUZOL,2,Pt,4,7291fe092504bae7828a306521121b2eb952a11f45a4f33ee1fbfedc7441a1e4,xyz/OKUZOL.xyz,6192f6780998641dbba0c8b711906dcdb863ea9684b46ad3a63741b76e3500e0,4,[2],[2],[2],False
61,42,0275425a732124e722969db6f443bf6fbaaec292096377cf989a066d04775125,TEJWIQ,1,Zn,4,e672246ab12ec8b0e4c6c815e0d5d8ff012b468aa8e08479a19abcf9fbeb3954,xyz/TEJWIQ.xyz,9aea16cd38f98bc4c07318aa5d9d3862364c118a974c2026103292a724e4b1a9,2,[2],[2],[],False
62,43,02764c71f250cfd1531a0d668d113208d32ba29414a8c6db87558d59c17e1ccb,SAKBUF,0,Zn,4,2c532e834c1507f788fabd272948226a3b9611f79dd8937e2d3b8d76480879bc,xyz/SAKBUF.xyz,64715d7d754c52ccefac599c2ce37ee56c51844a42bf9d97631baef74972c3d8,2,[2],[2],[],False
63,44,027db72390b6b55f24b0ff52d4572bc9bfbdc9e87611866d71dceb2dfb8746b5,WIBQII,3,Ni,4,242430a1f97c9a960197769896198df2ff3e7e789d370493b3d8c39c284b28e5,xyz/WIBQII.xyz,15b38c391d2c44a28cfa3d99d504da7018254c5b14380140d3e8d3c1142d6420,2,[2],[2],[],False
64,45,0283e96acb741fddd4245b2c98c9a0eb730bb7002816baf7ec14422cab15b7d5,YEHTEL,2,Pd,4,98030d9fd69c45b309465cde05d2a391136d48f6ab9d220f8e9460c4aa3b62ce,xyz/YEHTEL.xyz,50a8fdb4acbdcad310b9293554541a1cbb80eed06f984483722636ace40b48ca,4,"[2,2]","[2,2]",[],False
65,46,0299e589d5d3da2edca0ebb90a59581f68c7073f44d4134e0817f7932ff69503,HAKKEK,4,Pd,4,e88f7efa13df1f69e26fd9e9136e7be3a2856c08950387088c9f5ce60c7cd931,xyz/HAKKEK.xyz,101b60f7e5997451c926636073f14f42c0680f2561908185c0f4875ee1c689fc,2,[2],[2],[],False
66,47,02a61d3e41d811314dff4700cd8769c00dac1cd035d7abf2747d54993e76f8ec,PAMFES,0,Pt,4,a2c06567e4114037d48525eebf677dcd2686ccdfc7c1776ce2035b2afdb0aa74,xyz/PAMFES.xyz,a391a67f9c59f8f8c02d486f90e12f7b8a22d04a5edbfc7f872c3b0b3acbb3f8,2,[2],[2],[],False
67,48,02a86798e3bc77daea6e4396fa8912746b9c65414cf9b383e05a2f89cf70e0f5,SERDOJ,2,Pt,4,5e10e0806fd8de8114805742464af2a6a7535a4b2712e94c126a644513bafb87,xyz/SERDOJ.xyz,783b41f5abffc2e4bb2141a539ac2b62fca1dec3bc8e75e472eab7eb19540aee,4,[2],[2],[2],False
68,49,02bc216d95e828f8863b13489c74d900dd7a71b00c029c34f3acf88ec9e201a8,MAQHAN,4,Pd,4,bf9f50bb0e1a5793c2e379cd0536b751bdc48d8a1838dcb6adae0586d15ce38d,xyz/MAQHAN.xyz,48a7cf7bb7d0bfe9165ff3460f12bb6c9bf0aec4d5fc2879caa49e9311a3e8ab,4,"[2,2]","[2,2]",[],False
69,15,02c11d4b1cdf28856b3e46603708b77353eb535525588cefc0ee19d224fa9164,AHUXIM,0,Ir,6,b6defbe2fdad2c3612fb9f9d7e6ea4689c0697829e9c28185f00dc1f537547b8,xyz/AHUXIM.xyz,1e988b26722d718298814b98106a70d3ad4248fdea11c88269b8d1375425d460,4,[2],[2],[2],False
70,50,02d78898e589fe9308bc33bb0c1082077b5d0aee97afd74271c1e7a9361fbf1c,ABEPAA,1,Ni,4,b16f0ff14a38a8ee9dceee5ecac8e0d6061892b4bae9783d9a3a5697dd9412bd,xyz/ABEPAA.xyz,b8344ea3233572587e60e6d493a77126ab6d4eacfe5245a04b38c7ca804a807b,2,[2],[2],[],False
71,6,02e5ba8b415cc539a136032575a8328b810132dc162d377543525b6d67f5e2a8,MICWII,4,Zn,5,5e43416440836c1ddab7453423b72da98bf905a3344ebe6bfd4f534628e292a7,xyz/MICWII.xyz,ce8153e7ceccaa6d5e8c6a5dfc1006365d643406b89d222ab88563763091939e,4,[2],[2],[2],False
72,51,02ec385627142df3481a8786156c6193cc48f84860d93afb92057c8c46b6d506,IDAMAB,0,Pt,4,c63abd9ebcd2b0995b069d1e3395f52b00df078f3d7c4fc14fe33f8a192e4008,xyz/IDAMAB.xyz,6e7048ba58dd2fb03ecfff8a1386deee6584d699f77b67ac7fc088c6a808fd8e,2,[2],[2],[],False
73,7,030e5af522e454ac3bff1f8f3f6e9879f1bf53efddfaab26ad2b8f0bb302bd2c,CUMXAK,0,Ni,5,cfecf1255e4313c265c0ccdac65220e51e4462fd2600f21e1914e780d0447c96,xyz/CUMXAK.xyz,6aeaa7603b2b3e6c92bef17ba30dd8f3ddb710c369ae77412df624bf6d570a06,2,[2],[2],[],True
74,52,0312ec79a34affa698b36edef27d9bd4681fdb49bc6333a2a713ab50bd9958e8,OJIWEL,1,Pt,4,c79868227d1285b1de76b56486a826b80bed90b538fb4f0f1a41df604befc21f,xyz/OJIWEL.xyz,b3fc63d8b96af7e2572b5dbe29d1f545b9535871216c65b1b7f0e0c77200aeff,2,[],[],[2],False
75,53,03206cca9055da7d833187b265d7c0427b80d705638052e73b4c72e6352e9b8c,NOZSON,2,Zn,4,1fc372118fda45e66160bf4b7f7a21487aed35b83da5b052b3be4066182aa7b9,xyz/NOZSON.xyz,cc692b459e90b890f29e05797f11d0f3d7676149e6548b6b9351953ba472bfa6,2,[2],[2],[],False
76,54,0323e5f3ff8adaa2460aba724dadeff19bc1e388e4da22c722dc29b551052bfe,FAYKID,2,Pt,4,f142c39224eb4bfefa2fe8495e98cc17d1f7cfd9f5af917bfdc003923786f029,xyz/FAYKID.xyz,c8a4d916c901d66017630174db510ecaf46c032179485c5f143800dcfc577ceb,2,[],[],[2],False
77,8,033250e5fc2d6235646190d491a36aed8f8add992fd0c704008942f5004691f2,UDIRIL,2,Zn,5,f1daec751d7f640abf2ae28d502567bb4a879d4649905427f5640dfa00d169c4,xyz/UDIRIL.xyz,c235f5d3102affed0e08de4748cc31c1fb1bf1804e18a18b0d7b9ec317d5be80,2,[2],[2],[],True
78,55,03394e86812bbcd7b4807ba9f81c8db097a6829cdbcf44087156da9838d1a155,ZAQYAR,0,Cu,4,50532dcdcd0cdb42373b56afbbcf19c5944d3c554d5857759962a96126355073,xyz/ZAQYAR.xyz,474e7b9378f34302e4811e6275878796474aa5adb603e15449fc286e4c51dff0,2,[2],[2],[],False
79,9,0343723641c7f9b8d22f3ba0b080dd47951211ebea1b5381c9148bcf90fc5222,TUGXIE,0,Fe,5,6ba6e4ccf913ddad8e19a062b94cf13186f624f4c25d63f163c729109c4653fe,xyz/TUGXIE.xyz,c096a7d3c1ee797b800233190a58b807c3b2863ffe473aec00af29969e694854,6,[3],[3],[],True
