refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_SP,S_Td,log_S_SP,log_S_Td,L0_hash,L1_hash,L3_hash
ETIQAA,Rh,+1,d8,"C,O,P",2-1-1,3.2500,0.4300,0.5119,-0.3665,57693918482,490339295482,369071947340
ETIREF,Cu,+2,d9,,,9.7600,7.8800,0.9894,0.8965,115590048303,845429099717,124496617426
ETIRIJ,Cu,+2,d9,,,4.2900,1.4200,0.6325,0.1523,286380946646,62814378510,31168859268
ETIRIL,Co,+2,d7,N,4,2.8800,0.0000,0.4594,-3.0000,193786052937,811800719443,682666616351
ETOBAR,Pt,+2,d8,N,2-1-1,2.9500,0.0700,0.4698,-1.1549,682724245381,641617384182,35801416899
ETOBIZ,Pd,+2,d8,N,2-1-1,7.9000,2.9200,0.8976,0.4654,827781314614,970744862589,429166649436
ETOBOF,Pd,+2,d8,"N,O",2-1-1,2.9400,0.0600,0.4683,-1.2218,169262456809,874361103727,350838450290
ETOBUL,Pt,+2,d8,N,2-1-1,9.2700,2.9500,0.9671,0.4698,698406495243,832690925899,625467849880
ETOGEB,Pd,+2,d8,Cl,1-1,2.8700,0.1100,0.4579,-0.9586,467002565169,369003641228,886628464327
ETOGIF,Pd,+2,d8,"C,I",1-1,8.8800,3.3100,0.9484,0.5198,412810926782,617102319572,199365119019
ETOHAY,Pd,+2,d8,"C,Cl,P",3-1,8.2900,3.0100,0.9186,0.4786,940796541404,592567529107,936185530471
ETOHEC,Pd,+2,d8,"C,Cl,P",3-1,7.6300,10.5500,0.8825,1.0233,483616487375,918886216416,200426596465
ETONUZ,Co,+2,d7,,,2.9200,0.0100,0.4654,-2.0000,149895903397,820785657129,281516315052
ETOQIQ,Rh,+1,d8,"C,O",1-1,8.7900,2.9900,0.9440,0.4757,82370845212,492716042183,177378538116
ETORIQ,Ni,+2,d8,"N,O",2-2,2.9200,0.0400,0.4654,-1.3979,253391248161,359017190045,215990156266
ETORUD,Ni,+2,d8,"C,Cl",1-1,3.3400,0.5900,0.5237,-0.2291,340923233986,373925897116,174034164983
ETOSIR,V,,,,,2.9500,0.0200,0.4698,-1.6990,504097534263,255282494585,719673274778
ETOTOZ,Pd,+2,d8,,,4.4200,0.1900,0.6454,-0.7212,174948320943,391530822721,787466738597
ETOVAL,Ni,+2,d8,"N,O",2-2,2.9400,0.0600,0.4683,-1.2218,573964076163,680751761583,236138401014
ETOVER,Co,+2,d7,"P,S",2-2,2.8900,0.0100,0.4609,-2.0000,391208506539,248453333985,361807941789
ETOYUI,Cu,+2,d9,,,0.8000,0.6700,-0.0969,-0.1739,74344929281,71318166163,780320495607
ETUCEC,Ag,,,,,5.0400,3.1500,0.7024,0.4983,628664937658,69881669641,173632726153
ETUDUT,Zn,+2,d10,,,2.4700,0.3000,0.3927,-0.5229,30093722067,936803183001,527269499557
ETUDUT01,Zn,+2,d10,,,2.5000,0.3500,0.3979,-0.4559,374565756144,936803183001,527269499557
ETUDUT02,Zn,+2,d10,,,2.4900,0.3300,0.3962,-0.4815,57886405355,936803183001,527269499557
ETUFAB,Cu,+2,d9,S,2-2,8.4500,2.8800,0.9269,0.4594,614330743388,74152507919,28934277247
ETUGAE,Co,+2,d7,,,2.4900,0.2300,0.3962,-0.6383,919622735513,427384159658,123574431498
ETUGEI,Zn,+2,d10,,,2.5000,0.2200,0.3979,-0.6576,997753330040,35149405688,623903507310
ETUJAF,Zn,+2,d10,,,3.1600,0.5100,0.4997,-0.2924,529210942359,669521498206,397557900606
ETUJEJ,Zn,+2,d10,,,11.4300,8.3900,1.0580,0.9238,810726038697,838770703983,985760518752
ETUKIO,Ni,+2,d8,"C,O",1-1,3.2600,0.4800,0.5132,-0.3188,525689651134,204092281139,918915937111
ETUKIP,Pd,+2,d8,N,1-1,8.9400,3.1100,0.9513,0.4928,446902114431,771568064220,142585224611
ETUKOU,Ni,+2,d8,"N,O",4,9.0400,2.8900,0.9562,0.4609,370848276652,109144790358,685335882599
ETULAH,Ni,+2,d8,S,2-2,2.9200,0.0300,0.4654,-1.5229,192428648391,566893987029,506937573460
ETUMOY,Pd,+2,d8,"O,P",2-1-1,8.3500,2.7600,0.9217,0.4409,941416696104,771041363562,547659511129
ETUMUC,Zn,+2,d10,,,1.8400,0.1400,0.2648,-0.8539,153676803040,669015913683,232734292978
ETUMUE,Pd,+2,d8,"Cl,N",1-1-1-1,3.0700,0.2400,0.4871,-0.6198,410059994845,308858601330,408589912798
ETUNAL,Pt,+2,d8,"Cl,N",1-1-1-1,3.0700,0.2400,0.4871,-0.6198,372472590647,196272433818,710254525928
ETUNEP,Pd,+2,d8,"Cl,N",1-1-1-1,3.0600,0.2300,0.4857,-0.6383,943939763897,703894417813,178960437293
ETUNIT,Pt,+2,d8,"Cl,N",1-1-1-1,3.0700,0.2400,0.4871,-0.6198,343593289937,44200465679,342560746408
ETUPAL,Cu,+2,d9,,,0.9300,0.5600,-0.0315,-0.2518,633128867155,633075281615,416302548642
ETUQOA,Cu,+2,d9,,,1.0200,0.5000,0.0086,-0.3010,563604197544,524663181698,780320495607
ETUQOA01,Cu,+2,d9,,,1.0200,0.5000,0.0086,-0.3010,563604197544,524663181698,780320495607
ETURHG,Hg,,,"Cl,O",1-1-1-1,3.1300,0.3000,0.4955,-0.5229,107347877084,927865777477,404910170567
ETUSAO,Zn,+2,d10,,,2.3600,0.0300,0.3729,-1.5229,636550835070,296199078516,225331554401
ETUSEU,Ni,+2,d8,"N,O",4,17.7200,17.3000,1.2485,1.2380,141413985927,655437854724,22554352200
ETUVAQ,Zn,+2,d10,,,4.2800,0.9200,0.6314,-0.0362,341650724349,896832560053,219031200500
ETUVIZ,Zn,+2,d10,,,3.4100,0.0600,0.5328,-1.2218,351135759034,359023765990,598498702537
ETUVOE,Zn,+2,d10,,,3.0400,0.5200,0.4829,-0.2840,688009127362,320141048296,905183475122
ETUVUK,Zn,+2,d10,,,2.2200,0.2400,0.3464,-0.6198,907833652196,784776114354,187079244234
ETUWAR,Zn,+2,d10,,,3.5200,0.6300,0.5465,-0.2007,740301796873,404233119587,639530179027
ETUXAV,Ni,+2,d8,C,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,196056212960,365508713969,96482189714
ETZMNI,Ni,+2,d8,"N,S",2-2,9.3500,6.4100,0.9708,0.8069,384682978131,407419734731,72589479149
EVACIN,Ni,+2,d8,,,2.9200,0.6300,0.4654,-0.2007,251801364489,433715550670,429112172143
EVACOT,Ni,+2,d8,"Cl,N,P",2-1-1,9.5500,4.2200,0.9800,0.6253,809525553875,259676930138,703005693744
EVACUZ,Ni,+2,d8,,,7.5000,11.5600,0.8751,1.0630,775545803812,578599326801,506463571533
EVADUC,Cu,+2,d9,,,4.0400,1.4800,0.6064,0.1703,164788844560,795393368854,626844989629
EVAFEO,Cu,+2,d9,,,3.5200,1.6700,0.5465,0.2227,311883781030,127408316007,480845981508
EVAFIS,Cu,+2,d9,,,2.3200,1.7700,0.3655,0.2480,51074076736,354947060694,752368939784
EVAFOY,Cu,+2,d9,,,3.8500,1.3500,0.5855,0.1303,385934017943,855715791379,225428016913
EVAGEN,Rh,+1,d8,"C,Cl,P",1-1-1-1,8.8600,3.2600,0.9474,0.5132,852687344867,851611794378,152528604893
EVAKUK,Ag,,,,,16.9600,6.1300,1.2294,0.7875,513337297053,111045897521,986361332287
EVASOJ,Ti,,,,,3.1300,0.2700,0.4955,-0.5686,372717066477,504625278538,601152327048
EVAVOO,Pd,+2,d8,"Cl,N,Se",3-1,3.3200,0.5500,0.5211,-0.2596,461148163716,804531413235,933831368035
EVEFIU,Cu,+2,d9,"Cl,N,S",3-1,3.1200,0.4200,0.4942,-0.3768,581674805695,667136180924,85306544984
EVEGIX,Pt,+2,d8,S,2-2,2.9000,0.0100,0.4624,-2.0000,109673029532,406000048519,578880165282
EVEKAR,Rh,+1,d8,"F,P",1-1,2.7700,0.2400,0.4425,-0.6198,794585401891,80310804407,853668901720
EVEKIZ,Rh,+1,d8,"Cl,P",1-1-1-1,8.1800,2.9200,0.9128,0.4654,742943623704,555427948472,73110700309
EVEROM,Pd,+2,d8,"C,N,O",2-2,9.8000,3.0600,0.9912,0.4857,608513476596,371360773090,197210372434
EVEROM01,Pd,+2,d8,"C,N,O",2-2,9.5600,3.0500,0.9805,0.4843,738859298179,371360773090,197210372434
EVETEG,Cu,+2,d9,,,2.0400,0.9800,0.3096,-0.0088,49706623387,4369304348,162318361138
EVEWEH,Pt,+2,d8,"N,Se",2-2,9.8500,3.2500,0.9934,0.5119,715628300622,887511524181,934017905319
EVEWIL,Pt,+2,d8,"N,Se",2-2,9.9500,3.2700,0.9978,0.5145,455757974687,887511524181,934017905319
EVEZAI,Ni,+2,d8,"N,S",2-2,3.1300,0.2800,0.4955,-0.5528,939350809782,916082178616,727195007364
EVIMED,Au,,,C,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,576810019712,261916503361,495701283015
EVINOP,Ni,+2,d8,N,4,3.0400,0.1400,0.4829,-0.8539,74818695826,780832512583,646882331565
EVIZAN,Ni,+2,d8,"Br,C",1-1-1-1,8.6700,3.1800,0.9380,0.5024,412059314408,442101251314,389731991789
EVOBAU,Pt,+2,d8,"Cl,N",1-1-1-1,3.0700,0.2400,0.4871,-0.6198,556664039551,183389878498,317573795358
EVOBIA,Cu,+2,d9,"Cl,N",1-1,12.0100,14.1100,1.0795,1.1495,705569358578,78483253385,406006843605
EVOBOI,Pt,+2,d8,"Cl,N",1-1-1-1,3.0700,0.2400,0.4871,-0.6198,411864114809,468003214606,620850040861
EVOCID02,Pd,+2,d8,"Cl,N",2-1-1,10.0100,3.2300,1.0004,0.5092,903235303239,271867357619,673022301120
EVOJOO,Zn,+2,d10,,,1.4200,0.2600,0.1523,-0.5850,842238219686,841186358128,737400880191
EVOKEF,Pd,+2,d8,"C,Cl,P",1-1-1-1,9.2000,3.0400,0.9638,0.4829,711286229720,160559959667,637239177885
EVOKIL02,Cu,+2,d9,,,6.3900,1.2800,0.8055,0.1072,850160357416,259146390093,489340384621
EVOKOR02,Cu,+2,d9,,,2.9800,1.2200,0.4742,0.0864,716177144853,405226674007,420090781871
EVOLEG,Pt,+2,d8,"C,P",1-1-1-1,8.4700,3.1700,0.9279,0.5011,953616229926,713035236926,31514066693
EVOVAP,Ag,,,,,5.8600,4.6600,0.7679,0.6684,467881858000,977778062960,669010581546
EVOWOC,Pt,+2,d8,"C,Cl,P",1-1-1-1,9.0700,3.0300,0.9576,0.4814,999790528103,93624940145,706169660068
EVOWOE,Pd,+2,d8,N,4,2.8700,0.0000,0.4579,-3.0000,172770329542,15458821159,242407408878
EVOYOF,Pd,+2,d8,"N,O,P,S",3-1,8.1500,3.0100,0.9112,0.4786,247756651381,187242431839,855786128705
EVUBOM,Ni,+2,d8,"C,N,O",2-1-1,2.8500,0.0800,0.4548,-1.0969,913860861841,674729951134,232616398245
EVUBUS,Ni,+2,d8,"C,N,O",2-1-1,8.2100,10.0000,0.9143,1.0000,669985547143,425232215540,94650901635
EVUDAC,Ni,+2,d8,"N,O",3-1,16.3300,20.0900,1.2130,1.3030,285317911497,262684598233,185034831521
EVUDEG,Cu,+2,d9,"N,O",3-1,9.0100,9.1300,0.9547,0.9605,599810131609,843188992265,459395973333
EVUGAD01,Cu,+2,d9,N,1-1-1-1,2.8900,0.0200,0.4609,-1.6990,359209998033,389278432818,865772091859
EVUKUE,Zn,+2,d10,,,4.0100,0.4200,0.6031,-0.3768,94035611137,622559479681,526950713411
EVURIY,Pd,+2,d8,"C,O,P",2-1-1,9.8200,3.1400,0.9921,0.4969,908130569303,724530829745,645853148671
EVUSUM,Pt,+2,d8,N,4,8.5300,2.8600,0.9309,0.4564,267120917556,281279054989,293177608198
EVUWUO,Pd,+2,d8,"C,O",2-1-1,8.7400,2.9100,0.9415,0.4639,499591841801,809912138344,904555322631
EVUZUR,Pd,+2,d8,"P,S",2-2,9.0900,2.9100,0.9586,0.4639,727887136697,49124738272,179139688355
EWAGAM,Pd,+2,d8,"C,Cl,N",3-1,8.4400,3.1000,0.9263,0.4914,443640969569,240380163346,379296022386
EWAGIU,Pd,+2,d8,"C,Cl,N",3-1,8.4200,3.0800,0.9253,0.4886,48249735785,969003127953,466881125616
EWAGOA,Pd,+2,d8,"C,Cl,N",3-1,3.0200,0.3200,0.4800,-0.4949,462056867881,46028094152,820887016073
EWALOD,Pd,+2,d8,"Br,C,P",2-1-1,8.5200,2.9300,0.9304,0.4669,47777857998,512364236199,393511297667
EWAMAT,Fe,+2,d6,,,3.0500,0.0100,0.4843,-2.0000,679214434146,773636067601,412312253151
EWAMEX,Fe,+2,d6,,,3.0000,0.0000,0.4771,-3.0000,639063162902,773636067601,412312253151
EWAMIA,Pt,+2,d8,"C,N,S",2-1-1,9.2900,3.2300,0.9680,0.5092,742844874767,754493545993,314093310318
EWAMUM,Pd,+2,d8,"N,O,P",1-1-1-1,2.9600,0.1300,0.4713,-0.8861,631148083933,620416214735,93276504004
EWANAR,Co,+2,d7,S,2-2,2.8800,0.0000,0.4594,-3.0000,970972028893,188565916469,492729528214
EWANEV,Pd,+2,d8,S,2-2,2.8900,0.0000,0.4609,-3.0000,733911972496,310851241680,884634565776
EWANIB,Pd,+2,d8,"C,N",2-1-1,3.1500,0.2500,0.4983,-0.6021,335097004899,132396453923,346709418217
EWANIZ,Pt,+2,d8,S,2-2,2.8800,0.0000,0.4594,-3.0000,616828093232,150887750060,306301318795
EWANOF,Zn,+2,d10,,,1.4600,0.7100,0.1644,-0.1487,492370011824,993433952440,8682225136
EWANUN,Pt,+2,d8,"C,S",2-1-1,9.8600,3.0600,0.9939,0.4857,407724129294,819676381760,714936581216
EWASUR,Pt,+2,d8,"N,O",4,2.9100,0.0300,0.4639,-1.5229,812322591921,494998055998,701265350318
EWATIG,Pt,+2,d8,"N,O",4,2.9000,0.0300,0.4624,-1.5229,929724718717,703295747995,340533122396
EWAXEF,Co,+2,d7,,,2.5700,0.0200,0.4099,-1.6990,732420880873,726319880012,986485106852
EWAXIJ,Co,+2,d7,,,2.8300,0.0200,0.4518,-1.6990,233858452552,726319880012,986485106852
EWEBUF,Cu,+2,d9,,,5.0800,0.7000,0.7059,-0.1549,590486748670,812006180566,780320495607
EWECER,Cu,+2,d9,,,12.0300,14.2800,1.0803,1.1547,213115081160,771452621137,831428406546
EWEDOC,Cu,+2,d9,,,15.1600,17.6700,1.1807,1.2472,439411523178,957518212101,359397745368
EWEDUI,Cu,+2,d9,,,10.0300,11.3100,1.0013,1.0535,145231902601,247061839706,314362771798
EWEFAQ,Cu,+2,d9,,,2.0200,1.7700,0.3054,0.2480,137635009220,113781957067,309571254620
EWEQOM,Ni,+2,d8,"C,N",1-1,2.6400,0.2000,0.4216,-0.6990,734702404743,55398434011,892500636222
EWERIK,Cu,+2,d9,,,6.8800,1.8800,0.8376,0.2742,523758389572,263143107360,622840078391
EWERON,Os,,,P,1-1,19.5600,16.1900,1.2914,1.2092,147621445553,458059130528,409876099775
EWEROQ,Cu,+2,d9,"N,O",2-2,2.9200,0.0400,0.4654,-1.3979,448821412527,368342713051,694863858095
EWESII,Pd,+2,d8,"Br,C,P",2-1-1,2.9500,0.1700,0.4698,-0.7696,365848683625,116442498273,371578455449
EWETAD,Cu,+2,d9,"C,S",3-3,9.1800,21.7600,0.9628,1.3377,401059601526,490981283791,949422220356
EWEVUA,Ag,,,,,4.0400,0.8200,0.6064,-0.0862,543437247297,686439924547,524785641162
EWEVUZ,Ni,+2,d8,"C,Cl",1-1-1-1,3.0600,0.2400,0.4857,-0.6198,798344650093,10928481341,106783881223
EWEYAG,Pt,+2,d8,"C,Cl,S",2-1-1,8.4200,3.0400,0.9253,0.4829,889147080891,158141193848,984388882057
EWEYEK,Pt,+2,d8,"C,Cl,N,S",2-1-1,3.0400,0.1900,0.4829,-0.7212,10199912924,48732626842,539151688645
EWEYEN,Pd,+2,d8,,,7.8000,2.6600,0.8921,0.4249,372281289323,991257581840,288049907046
EWEYOX,Ni,+2,d8,,,2.5300,0.2500,0.4031,-0.6021,305896026608,434487399094,151428466840
EWEZIS,Ni,+2,d8,,,4.0200,0.1100,0.6042,-0.9586,233979230829,559769688916,852574189221
EWIBAQ,Pd,+2,d8,"C,O",1-1,14.2800,5.7900,1.1547,0.7627,130827505022,432038404729,200786833329
EWIBAQ01,Pd,+2,d8,"C,O",1-1,14.2800,5.7800,1.1547,0.7619,771800468247,432038404729,200786833329
EWICOD,Ni,+2,d8,P,2-2,3.3400,0.3900,0.5237,-0.4089,5871411179,695010518691,440942530915
EWIHOJ,Ag,,,,,3.4100,2.1000,0.5328,0.3222,128382398554,523375707796,63017625301
EWINOQ,Cu,+2,d9,,,0.8200,0.6500,-0.0862,-0.1871,228108396408,71318166163,780320495607
EWISEL,Cd,,,,,3.5500,0.0600,0.5502,-1.2218,399230968249,716469096331,130060920849
EWISOV,Zn,+2,d10,,,2.7200,0.0300,0.4346,-1.5229,741849086581,274152751043,314234232719
EWITOU,Pt,+2,d8,"C,Cl,N,S",2-1-1,3.2000,0.3800,0.5051,-0.4202,142942487248,514655914836,885125035721
EWIWUE,Au,,,"C,I,N",2-1-1,8.1500,3.3800,0.9112,0.5289,951576737252,297212664172,609450498956
EWOCAU,Zn,+2,d10,,,2.2100,0.6100,0.3444,-0.2147,136257440965,180572922291,572528861240
EWOCIC,Fe,+2,d6,,,2.7000,0.3300,0.4314,-0.4815,65699064766,981371336815,633579328803
EWODIF,Pd,+2,d8,"C,Cl,N,S",3-1,8.6700,3.0100,0.9380,0.4786,478605906734,210685367511,471307108101
EWOJOQ,Au,,,"C,N",1-1,10.6700,3.1400,1.0282,0.4969,720414360794,443766206499,302336013779
EWOJUW,Au,,,"C,N",2-1-1,7.6100,3.1000,0.8814,0.4914,774780929147,603688541720,683587611584
EWOKIL,Au,,,"C,N",2-1-1,7.5800,3.0900,0.8797,0.4900,527124147777,424382299479,729805830372
EWOKOQ,Pd,+2,d8,"C,N",4,9.5800,3.0500,0.9814,0.4843,280285486564,27505751505,123632809605
EWOMUB,Pd,+2,d8,"Br,C,I,P",2-1-1,8.6000,3.1400,0.9345,0.4969,732050424991,216760587576,277014662988
EWOPEM,Pd,+2,d8,"N,O,P",3-1,7.8500,15.3900,0.8949,1.1872,602766446505,518750359057,597631017874
EWOPIP,Cu,+2,d9,,,4.0200,0.2500,0.6042,-0.6021,516609165354,342948601268,590528345311
EWOPUD,Cu,+2,d9,,,3.4300,0.9100,0.5353,-0.0410,999764227912,7956834719,561717440874
EWOPUE,Rh,+1,d8,"Cl,P",1-1,9.3600,3.0100,0.9713,0.4786,933451692995,742777026411,433651612327
EWOQAK,Cu,+2,d9,,,2.8000,0.7900,0.4472,-0.1024,218525809258,172995822415,540236690723
EWOREP,Cu,+2,d9,,,1.7200,1.2500,0.2355,0.0969,788155108000,134002517221,149691741766
EWOROZ,Cu,+2,d9,,,2.6000,1.1400,0.4150,0.0569,36187792345,235521938651,4409764521
EWORUD,Pd,+2,d8,"C,Cl",1-1-1-1,3.0200,0.2000,0.4800,-0.6990,118383653361,243951102473,998648778022
EWOSAM,Cu,+2,d9,,,3.1600,1.2400,0.4997,0.0934,550703741817,502951385220,444886606234
EWOSEQ,Cu,+2,d9,,,5.9300,1.2400,0.7731,0.0934,696156457353,428618405334,817170149224
EWOVAQ,Ni,+2,d8,"C,P",3-1,8.7100,3.0300,0.9400,0.4814,66903845130,298706974784,449969540576
EWOWUJ,Pd,+2,d8,N,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,972025308670,702472976231,537792935450
EWOWUJ01,Pd,+2,d8,N,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,972025308670,702472976231,537792935450
EWOXEU,Pd,+2,d8,N,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,969370361324,74552654238,736380994089
EWOXIY,Pt,+2,d8,N,1-1-1-1,8.4800,2.8900,0.9284,0.4609,409222903788,364555131350,109762349771
EWOYOF,Pt,+2,d8,"Cl,N,O,S",2-1-1,3.0900,0.2500,0.4900,-0.6021,811149332776,34904785461,154227882774
EWOYUM02,Rh,+1,d8,"C,O",1-1-1-1,3.0100,0.1800,0.4786,-0.7447,376960641625,407319560564,818567965967
EWOZOG,Zn,+2,d10,,,2.7700,0.2700,0.4425,-0.5686,844914993024,761643127258,414175965588
EWOZUM,Zn,+2,d10,,,2.2600,0.2800,0.3541,-0.5528,538829453897,993999251040,414175965588
EWUDIM,Pd,+2,d8,"C,Cl,N,P",2-1-1,3.0800,0.2300,0.4886,-0.6383,400349397598,44023316130,881403501877
EWUHUC,Y,,,,,6.5800,1.6400,0.8182,0.2148,506083001250,159927640376,378661927777
EWUJEM,Cu,+2,d9,"Cl,N",1-1-1-1,3.0100,0.1600,0.4786,-0.7959,274962781647,899447480802,258401519387
EWUJIQ,Cu,+2,d9,"Cl,N",1-1-1-1,3.0400,0.2000,0.4829,-0.6990,475938749058,69947037117,912382447430
EWUJOW,Cu,+2,d9,,,2.2500,0.0800,0.3522,-1.0969,910286699728,964656906007,277115660840
EWUJUE,Fe,+2,d6,"C,P",3-1,3.0700,0.2600,0.4871,-0.5850,816701036931,340253118415,791900805156
EWUNUH,Zn,+2,d10,,,1.5800,1.2800,0.1987,0.1072,34327130811,742440195921,850353901177
EWUPAN,Pd,+2,d8,"C,I,N,P",2-1-1,8.4300,3.2400,0.9258,0.5105,4343728326,271185476265,812892704637
EWUPER,Pd,+2,d8,"N,P",1-1,7.7500,10.4000,0.8893,1.0170,587440174315,958942795103,21913979655
EWUPIV,Pd,+2,d8,"N,P",1-1,7.7400,8.7700,0.8887,0.9430,668225510471,344409192017,651309017967
EWUPUH,Pt,+2,d8,"C,P",2-1-1,9.7200,3.0400,0.9877,0.4829,741532275561,713842844388,921280905231
EWUQIW,Ru,+2,d6,,,6.6600,3.3200,0.8235,0.5211,909068843404,763232019834,282199482650
EWUSIY,Pt,+2,d8,"Cl,P",2-1-1,8.1300,2.9100,0.9101,0.4639,62986638311,900561438911,310575486601
EWUSUK,Pd,+2,d8,"Cl,P",2-1-1,7.9900,2.9400,0.9025,0.4683,531890267036,222588870559,209305226731
EWUVUN,Pt,+2,d8,"C,Cl,P,S",2-1-1,2.9900,0.1400,0.4757,-0.8539,673807012841,204604074697,520396013472
EWUZIH,Cu,+2,d9,,,3.4600,0.0500,0.5391,-1.3010,768841053161,166952032804,686501265580
EWUZUR,Cu,+2,d9,N,1-1-1-1,2.8900,0.0100,0.4609,-2.0000,888458959482,6184197046,874812180716
EXABAJ,Pt,+2,d8,"C,Cl,N,S",2-1-1,9.3700,3.2200,0.9717,0.5079,45841203384,734516164532,378707872758
EXAFAL,Au,,,"Br,C",1-1-1-1,3.2200,0.4300,0.5079,-0.3665,384334664752,74877469457,847280237253
EXAFEP,Au,,,"C,I",1-1-1-1,3.5800,0.8800,0.5539,-0.0555,304700151571,106881748439,536481694910
EXASEE,Cu,+2,d9,,,4.3300,1.4300,0.6365,0.1553,886097158375,291939449601,761602348139
EXASOO,Cu,+2,d9,,,3.5400,1.2200,0.5490,0.0864,632345365844,475896644590,303270258703
EXAXIL,Ag,,,,,5.9500,4.5000,0.7745,0.6532,443086884054,403180074809,178151229978
EXAZIM,Ni,+2,d8,"N,O",2-2,2.9500,0.0700,0.4698,-1.1549,213770411919,650083175716,454283939026
EXEBIU,Pt,+2,d8,"Cl,N",2-1-1,8.6400,3.0900,0.9365,0.4900,843344328751,473345720099,223562894817
EXECIV,Pt,+2,d8,N,2-2,3.4100,0.4600,0.5328,-0.3372,426232576805,868706852913,310252348816
EXEDAM,Ni,+2,d8,"C,N,O,P",2-1-1,8.3800,2.9900,0.9232,0.4757,766239132779,384509308714,824891481328
EXEDEQ,Ni,+2,d8,"C,N,O,P",2-1-1,8.6700,2.9800,0.9380,0.4742,741863012728,273639859787,829401996894
EXEDIU,Ni,+2,d8,"C,N,O,P",2-1-1,8.6500,2.9700,0.9370,0.4728,153943029878,828339311614,436290500304
EXEDUH,Pd,+2,d8,"C,P",2-1-1,9.1700,3.2600,0.9624,0.5132,794094360273,67704571130,972770813321
EXEFOF,Pd,+2,d8,"Br,C",1-1-1-1,3.2600,0.5000,0.5132,-0.3010,609532683681,223999202867,87716495707
EXEKID,Zn,+2,d10,,,2.2400,0.3800,0.3502,-0.4202,209982026358,75053849195,852463721001
EXESEI,Pt,+2,d8,"C,Cl,P",1-1-1-1,8.4100,2.9900,0.9248,0.4757,192361698604,742125410656,878081587232
EXEVAG,Co,+2,d7,,,5.4400,0.4100,0.7356,-0.3872,353477755443,565360322321,134505929678
EXEVIO,Co,+2,d7,,,2.1800,0.1000,0.3385,-1.0000,844017713724,998671780904,104827875335
EXEXOV,Ru,+2,d6,"O,P",1-1,3.1300,0.3000,0.4955,-0.5229,996706525743,383768859134,353254878836
EXEYAK,Cu,+2,d9,,,2.7200,0.2500,0.4346,-0.6021,16802319313,733889003851,14962151356
EXIBOE,Ag,,,,,4.4200,2.4200,0.6454,0.3838,782932615512,832908503562,286942062365
EXIHOI,Cu,+2,d9,"N,O",1-1,9.4100,10.2100,0.9736,1.0090,381475641909,713889071131,631469451552
EXIJEA,Co,+2,d7,,,3.4200,0.0300,0.5340,-1.5229,663182713017,726319880012,986485106852
EXIPUW,Ni,+2,d8,"N,S",2-2,9.1000,9.2200,0.9590,0.9647,199224500479,276675275625,661049203083
EXIQAD,Ni,+2,d8,"N,S",2-2,19.7700,16.9000,1.2960,1.2279,433857290517,428616796587,648179634207
EXIQEH,Pt,+2,d8,"N,S",2-2,9.9400,3.2000,0.9974,0.5051,585910407766,246718260698,562270187547
EXIQOR,Pt,+2,d8,"N,S",2-2,9.9300,3.1900,0.9969,0.5038,390816240758,882189615056,162732796081
EXIREL,Ni,+2,d8,,,6.1700,1.6100,0.7903,0.2068,378851815158,152758414473,808795319066
EXIRIP,Ni,+2,d8,,,7.0100,1.5300,0.8457,0.1847,251636964634,279965224737,424643785248
EXIXIS,Rh,+1,d8,"O,P",1-1,3.1500,0.4600,0.4983,-0.3372,261758303844,366029630196,415155243528
EXIXOY,Rh,+1,d8,,,6.2500,1.5700,0.7959,0.1959,502161362776,639895829205,901226060069
EXIYIT,Pd,+2,d8,"Cl,N",1-1,8.9600,3.5100,0.9523,0.5453,194379109264,961544904145,423338762981
EXIYOZ,Pd,+2,d8,"Br,N",1-1,9.2700,6.4500,0.9671,0.8096,632341974844,269766177354,571068497095
EXIYUF,Pd,+2,d8,"I,N",1-1,9.2400,3.9800,0.9657,0.5999,381426122049,909455530498,398060396769
EXOBIC,Ni,+2,d8,"N,O",4,6.7200,6.2600,0.8274,0.7966,931554007107,988353094855,124272026707
EXOBOI,Pd,+2,d8,"N,O",4,9.5300,2.9800,0.9791,0.4742,713291639289,228384664696,563382450592
EXOCEA,Ni,+2,d8,"O,P,S",2-2,9.1100,8.7400,0.9595,0.9415,667343767974,998849298358,979497443423
EXOLAE,Pd,+2,d8,"Cl,N,P,S",2-1-1,8.7900,2.9500,0.9440,0.4698,68430865934,564992791048,121083542325
EXOLOT,Pt,+2,d8,C,2-1-1,9.7800,3.0500,0.9903,0.4843,3738341707,874458061239,993224042780
EXOLUZ,Pt,+2,d8,"C,O",2-2,13.1600,13.5700,1.1193,1.1326,868854397844,215594743388,935823431707
EXONAH,Pt,+2,d8,C,1-1-1-1,2.8900,0.0100,0.4609,-2.0000,385569401119,772639177279,164987258367
EXONEL,Pt,+2,d8,C,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,337306251906,772639177279,164987258367
EXOQUE,Cu,+2,d9,"N,O",2-2,18.9700,18.0100,1.2781,1.2555,641862092133,458221329057,172011418087
EXOVIW,Pd,+2,d8,N,2-2,2.9300,0.0400,0.4669,-1.3979,684305018907,657634386478,59038720039
