panel,data_type,pair_id,cis_refcode,trans_refcode,cis_donor_arrangement,trans_donor_arrangement,cis_value,trans_value,unit,analysis_source,metal,delta_cis_minus_trans,model,model_display_label,metric,value,ci_low,ci_high,direction_concordance,n_pairs,paired_randomization_p,reference_model,comparison_model,reference_value,comparison_value,relative_improvement_fraction,improvement_definition,bootstrap_two_tail_sign_probability_descriptive
B,fingerprint_identifiable_cis_trans_pair,5c401ef579c3a60d1d97df5e67a3d62e8f91946f9a9d9a3c686197e288d1901d,HEFQAM,HEFPUF,,,6.421800136566162,0.0005998611450195,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pd,6.421200275421143,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,5f8892aa0b64b8405ab6809b4982236a8540b311b48b595cdf2fc6f0f40320f1,MIQTIT,MIQTOZ,,,10.810999870300291,0.0040998458862304,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,10.80690002441406,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,63ac1684aac074596a5ee0d7d42c3e9bc9a271bf40a851653caf23c2efcc88a1,GAXGOB,FIRCEO,,,6.062300205230713,2.600800037384033,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Ir,3.46150016784668,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,6fd43ee9137ed53e7136cad3bd0de35aabd67d35ff3dfba007b485b81d7b11f6,KOJQEF,XAJWEL,,,4.873600006103516,0.005199909210205,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,4.868400096893311,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,75ed7d3a7de6c4685d43d252b4de849e45854df0b8975224f5cca0cfbf43aeec,KEMJES,XETPUI,,,11.776901245117188,3.640599966049193,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,8.136301279067995,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,886a49d90a657fe1f96602811ca842138ad654a41f5eacd0acd629eebf4c55e6,ROFYAM,ROGTEM,,,8.074600219726562,2.637399911880493,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,5.437200307846069,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,8a3bbdbe21780d6f06b446e2bdf41ebbb763dddc9f28dda512fc9b1e087eea2b,NEJVOO,YEGCET,,,8.545999526977539,2.3060998916625977,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,6.239899635314941,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,8c1f4daa7730883481353b3112391173f067460a5e01576c7d84d8cd662c15a6,WIBCEQ,WICBUG,,,6.060200214385986,0.0018000602722167,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,6.0584001541137695,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,90c0c46e560bb998bae0e81d81e69176332f324fd9bd47bfc8845c5bb00d8249,NIRXUK,NIHVUY,,,1.086899757385254,0.0079002380371093,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pd,1.0789995193481443,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,af61686725d50cb029958d6fd4e94173ffc60cd0a66542dfd21468605837d562,MESIRA,MESIRB,,,6.093400001525879,0.5531001091003418,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Ir,5.540299892425537,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,b1d53e44f630f801784c2248d05435b3e71b4220b245b2fa25a095e922cf8165,PIGJAR,JIFWAX,,,8.216500282287598,0.2841000556945801,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,7.932400226593018,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,b45534b079cec93e1c70bf6afae842eee6287340ac6e493ebcae01b65ae1237a,YEFPOQ,YEFPUW,,,1.117499828338623,2.598900079727173,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,-1.4814002513885498,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,b8eda66964d82a482cc2ae4d60515539e64691352f18c16890393b249122311e,IGOROL,IGORUR,,,9.04360008239746,5.3531999588012695,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,3.6904001235961896,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,bc3f7efb293e02c6af2bd89d7fd25c46b7daca5b4291d53332c730fdd0462d50,SUHQIW,SUHQOC,,,12.954299926757812,0.0023999214172363,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,12.951900005340576,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,c1a30dfcee9e5f6d5faaa5eb39721279e1cc523b436da79ab8cb9f6bb63af12a,FISXAI,FISVIO,,,11.14169979095459,0.0946998596191405,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pd,11.04699993133545,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,d6e27d0772f079c33b4d537ff589ebc57bff8e99a9ffbe6ac26caf99b56628b4,YASKUA,YASMAI,,,13.517800331115724,1.0776000022888184,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,12.440200328826906,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,d78c5e8fea956d823ceb62bdaef5c7ea3b598fda3450d53c296009253cc32455,CUCMOE,CUCNAR,,,9.913100242614746,0.6329002380371094,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pd,9.280200004577637,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,dac5d4a1a695921729c338520a8e3397042ed53883dd84c0638729311e10ec07,SOGVEQ,KEZWAP,,,3.083199977874756,0.0008001327514648,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Ni,3.082399845123291,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,e88d1897fb507777fed5300d9811ff6720595168d7cad16c0c0f79a48f522f73,EFUTUV,GOHYUY,,,9.975799560546877,0.0012998580932617,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,9.974499702453617,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,f15eeafa4232b573f318937553772966f46fc0b07b5c2d9d9b3c4dd77a285cc5,GUGZEN,GUGZIR,,,8.101200103759766,4.443399906158447,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,3.6578001976013184,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,fd9a981d4cffeb017d9f6c697e5c9cbdf0cb15c77b139f939d6d884e7cdfd7ab,HITKIE,HITKOK,,,13.00879955291748,3.827199935913086,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,9.181599617004396,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,ff022f20281a3c540f628f3bf46ad44d250bd1737690f3d84165e6219b9517f1,VIRXOK,VIWPIB,,,4.425000190734863,0.0125999450683593,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,4.412400245666504,,,,,,,,,,,,,,,,
C,automatic34_model_metric,,,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,gine_wide,GINE (2D graph),pair_difference_mae,5.868914682507984,4.708608488331309,7.05522984645479,0.5,34.0,,,,,,,,
C,automatic34_model_metric,,,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,coordrep_relation_masked,GINE + CoordRep relations hidden,pair_difference_mae,5.2184893523945535,4.141020165237726,6.33382362659071,0.7941176470588235,34.0,,,,,,,,
C,automatic34_model_metric,,,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,coordrep_relation_full,GINE + CoordRep full record,pair_difference_mae,1.3278990306106262,0.9972591629799672,1.6844527239892984,0.9411764705882352,34.0,,,,,,,,
C,automatic34_model_metric,,,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,schnet_3d,SchNet (3D),pair_difference_mae,0.8001627407821955,0.5689396567788777,1.0644434606327722,1.0,34.0,,,,,,,,
C,automatic34_model_metric,,,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,visnet_3d,ViSNet (SE(3)),pair_difference_mae,0.4814681819840974,0.3516972074321674,0.6175619570063609,1.0,34.0,,,,,,,,
C,paired_contrast,,,,,,,,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,coordrep_relation_full_minus_coordrep_relation_masked,,pair_mae_difference,-3.8905903217839257,-4.944537213736889,-2.8638378268947804,,34.0,4.999975000125e-06,,,,,,,
D,corrected60_gap_model_metric,,,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,gine_wide,GINE (2D graph),pair_difference_mae,0.4886031104458702,0.2892288311935554,0.7551432855343405,,60.0,,,,,,,,
D,corrected60_gap_model_metric,,,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,hybrid_mask_shape,GINE + CoordRep shape/CShM hidden,pair_difference_mae,0.3432596299383374,0.2483531374337315,0.4465042326149128,,60.0,,,,,,,,
D,corrected60_gap_model_metric,,,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,hybrid,GINE + CoordRep full record,pair_difference_mae,0.2612495157453748,0.2133515540773653,0.3091325482573013,,60.0,,,,,,,,
D,corrected60_gap_model_metric,,,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,schnet_3d,SchNet (3D),pair_difference_mae,0.3200279388162824,0.1941123365528053,0.4725052146074249,,60.0,,,,,,,,
D,corrected60_gap_model_metric,,,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,visnet_3d,ViSNet (SE(3)),pair_difference_mae,0.3564724226792651,0.2389681015354443,0.4882242776378235,,60.0,,,,,,,,
D,shape_CShM_masked_vs_full_contrast,,,,,,,,eV,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,hybrid_mask_shape_minus_hybrid,,pair_delta_mae_material_pairs,0.0820101141929626,0.0084113989347791,0.168404291776183,,60.0,,hybrid_mask_shape,hybrid,0.3432596299383374,0.2612495157453748,0.2389156983234374,reference_minus_comparison; positive favors comparison,0.0184990750462476
