selection_order,gate_member,stratum_selection_rank,mol_id,fold,metal,cn,graph_sha256,canonical_smiles,source_member,source_payload_bytes,source_payload_sha256,n_atoms,selection_score_sha256,ligand_payloads_json,ligand_payload_provenance_json,connectivity_status_json
16,True,6,DOMQOM,0,Pd,4,ad675226cfc96b4dc8101a1b38759df69ba36107635d44b70327dd1c7e21f0ee,O=C(O)c1cccc2C(=O)[O-]->[Pd+2]3(<-[O-]C(=O)c4cccc(C(=O)O)n->34)<-n12,xyz/DOMQOM.xyz,1160,e923a7019ce7973e5510ed990273b615f035e286a51165de023bc3948ea80a7c,33,2b8afced5ebfa11390dd1b99d47a9beebb598708e1736dafe1c6b6073a679d99,"[""[H]OC(O)C1NC(C(O)O)C([H])C([H])C1[H]"",""[H]OC(O)C1NC(C(O)O)C([H])C([H])C1[H]""]","[""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
17,True,6,NAYVIU,2,Ni,4,867a612c14fe060563e55a6a2864bdcffd0623f3990bcc537c4a2f55ac387dfe,CC(C)P1(Oc2cccc3OP(C(C)C)(C(C)C)->[Ni+2]<-1(<-[S-]c1ccccc1)<-[c-]23)C(C)C,xyz/NAYVIU.xyz,2315,24f4cb1d9417c16e43f60765af64cf9cd87df3c799438bb8981015bb337b8638,66,2cefa910b0cb7f61264359b60e41a5d1a861fa5867cb4c92977a67cbb9394be7,"[""[H]C1C(OP)CC(OP)C([H])C1[H]"",""[H]C1C([H])C([H])C(S)C([H])C1[H]""]","[""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
18,True,5,SUKHEO,4,Zn,6,cc094c51bc3982db457d8773039fc93b72b553eba5637b26143985071bb1f80c,CCOP(=S)(OCC)[S-]->[Zn+2]1(<-[S-]P(=S)(OCC)OCC)<-n2ccccc2-c2n3ccccc3cn->12,xyz/SUKHEO.xyz,2210,8f735a605ec1057f623dd5743d65fa085c37ede26e921210af6e2cd3bb4cbf45,63,2e8f7ca1c13163e358c186ee923ac488c22f3dbafa2cfff2428522df0b1230e3,"[""[H]C1NC(C2NC([H])C3C([H])C([H])C([H])C([H])N23)C([H])C([H])C1[H]"",""S"",""S"",""S"",""S""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
19,True,5,ATASOF,3,Ni,4,234ed1e507bf3c2c7e0de92d9af244171b0c7cbd938019d86414fefb6d7785e2,CC(C)(C)P1(Oc2cccc(-c3ccccc3)n2->[Ni+2]<-1(<-[Br-])<-[Br-])C(C)(C)C,xyz/ATASOF.xyz,1792,10984cae00edc32935ce35e873bb8dd59bd28673b447d4b5a81f62ab2a98c2d2,51,34fb1a34ccc406a70aaafc154a10b681e63a469df2d78d0e178bbafb4ba0decb,"[""[H]C1C(OP)NC(C2C([H])C([H])C([H])C([H])C2[H])C([H])C1[H]"",""Br"",""Br""]","[""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
20,True,1,INEMAQ,4,Zn,5,f544ac9f1785ce5ae58fc7deb37dd75d8f6af62e079f65e22c463f825583aac7,[Cl-]->[Zn+2]123<-N(=CC=C[N-]->1c1cccc4cccn->2c14)c1cccc2cccn->3c12,xyz/INEMAQ.xyz,1476,2e836a7c4bdff67b6ac6d674d0774cdca82ac97446679fb2d20267d7e21226ae,42,353aefd897c7bfda49d7fe71da50d52244f6bcab092a0487ce9219756ddb4362,"[""[H]C(NC1C([H])C([H])C([H])C2C([H])C([H])C([H])NC12)C([H])C([H])NC1C([H])C([H])C([H])C2C([H])C([H])C([H])NC12"",""Cl""]","[""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
21,True,4,KUNWAU,2,Cr,6,e47a8f11b0433f3ff4c70a9e6b2c95e587cd6c323fda3fa698a9a55be7cda86e,[O+]#[C-]->[Cr]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(c2ccccc2)(c2ccccc2)N(c2cccc3ccccc23)P->1(c1ccccc1)c1ccccc1,xyz/KUNWAU.xyz,2560,949705c14c3b29a2b8c018605789fa3fe281ea069be9f279b0d66638bf2c4344,73,3a0343faf5a7aa1bd60880faaca3ace5b6655e8ff049caafd02302c232dbd1f8,"[""[H]C1C([H])C([H])C2C(C1[H])C([H])C([H])C([H])C2N(P)P"",""CO"",""CO"",""CO"",""CO""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
22,True,6,BONREC,0,Ir,6,270aa817bf3c2efa1d13f81a48b34207440968da59fcc42af1755a0c2ab3ebed,[Br-]->[Ir+3]12(<-[Br-])(<-[Br-])<-n3ccccc3-c3cccc(-c4ccccn->14)n->23,xyz/BONREC.xyz,1163,ea2e510642fe6e881eded0438cc08471b50c60fc285186ae4d13b554af9f5f1f,33,3d4ab620bd59fe7f863bc56d65665e232dde02d28fee768fb4c36a95890194be,"[""[H]C1NC(C2NC(C3NC([H])C([H])C([H])C3[H])C([H])C([H])C2[H])C([H])C([H])C1[H]"",""Br"",""Br"",""Br""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
23,True,5,TUKGUB,4,Ni,5,b0f83288d97909e8b29e3ddec27f6745a5b375ecdd121214617eb05b8044ec8e,CN1(C)c2ccccc2P(c2ccccc2)(c2ccccc2)->[Ni+2]<-1(<-[Cl-])(<-[Cl-])<-P(C)(C)c1ccccc1,xyz/TUKGUB.xyz,2282,b9a6af17afe611632b58a168a220aea951af487d157f5ce10c0d9e98cb00f5e6,65,3d9004c42b62a1daf212bed6eaa6e73116c5d5f6b211fe41a08c10c16cf5f66e,"[""[H]C1CC(N(C([H])([H])[H])C([H])([H])[H])C([H])C([H])C1[H]"",""P"",""P"",""Cl"",""Cl""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
24,True,5,HIGBOP,4,Pt,4,3355ac88dd3c266fa7f7fe605227d7dfc5b939e9b2a8730368809836f047044b,Fc1ccc2-c3ccccn3->[Pt+2](<-[Cl-])(<-[c-]2c1)<-n1ccccc1,xyz/HIGBOP.xyz,1161,88aade4e91f445df5b491e0d1e70cea98b6baf17a45a3f073e87b6bf00d08923,33,3e55b7eb4a6b2e84ecfb9b0940a1059f07d64fc92c80326f6eca7789ab1e40c2,"[""[H]C1CC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1F"",""[H]C1NC([H])C([H])C([H])C1[H]"",""Cl""]","[""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
25,True,6,SOPROE,2,Fe,5,3aa1eaa54627c0a40756e9782a2f6c4c1f72f414a76debf207306274ca770d14,[O+]#[C-]->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,xyz/SOPROE.xyz,2140,0a8acd204ac3b2f9ee4bb730e117e32f4c5a1147d3d8962d1d0f04e2b7bf636f,61,3f6470dd85a0bb17cd236a84f9a0c822d6b74a091b9000fdce795f827082112e,"[""CO"",""CO"",""CO"",""CO"",""P""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
26,True,2,POCVAG,0,Zn,6,4d5c33848f0d914cf214c896e8929de5e8fd3b5be77d0491145201a645b67470,N#[N+][N-2]->[Zn+2]12(<-[N-2][N+]#N)<-n3ccccc3-c3cc(-c4ccccn4)cc(-c4ccccn->14)n->23,xyz/POCVAG.xyz,1580,4f8659f058e1376b7bf339e0ba12925c27499c34cf0c94e40e3590a9dfb8a49b,45,43b1b0ae1beac8021f59381c0a4c3d02cd1fa6e75f3db18be788bfee9838d604,"[""[H]C1NC(C2NC(C3NC([H])C([H])C([H])C3[H])C([H])C(C3NC([H])C([H])C([H])C3[H])C2[H])C([H])C([H])C1[H]"",""NNN"",""NNN""]","[""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
27,True,1,DEBYIT,3,Pt,4,5ad5b4e66ba190fee116bffc24a8c56af2e961bff7ca1adf3f7d5855aee942e2,[CH3-]->[Pt+2](<-[Cl-])(<-[C-]#[O+])<-P(c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,xyz/DEBYIT.xyz,1476,a5cf6a76fc71aadd954d569699f0ac4a02f1f369f0d5943d64e99f37d7c9a58c,42,4735d49da82e0c0d0e1f1399f4ab091498116114be60784a88ced3595fa6e962,"[""CO"",""[H]C([H])[H]"",""P"",""Cl""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
28,True,2,BESPIA,4,Zn,5,5093ffde07ab4fa88cfcd404a03e6928282915d94978ef600eee2b78855ccac8,[Cl-]->[Zn+2]123<-n4c5c(-c6ccccc6)c6n->1c(c(-c1ccccc1)c1ccc(c(-c7ccccc7)c7ccc(c(-c8ccccc8)c4C=C5)[n-]->27)o->31)C=C6,xyz/BESPIA.xyz,2736,ae148bb71603df8d888b0782774c7e29062650f637be5fc492980b204893e20e,78,4ae6c464fd682f8820220b1f29cb25f592e206b5791984fe4f89f268fc516318,"[""[H]C1C([H])C([H])C(C2C3NC(C([H])C3[H])C(C3C([H])C([H])C([H])C([H])C3[H])C3NC(C([H])C3[H])C(C3C([H])C([H])C([H])C([H])C3[H])C3OC(C([H])C3[H])C(C3C([H])C([H])C([H])C([H])C3[H])C3NC2C([H])C3[H])C([H])C1[H]"",""Cl""]","[""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
29,True,5,GOHFUH,2,Ir,6,f1235fdf6b04a431bab0b93d846f5761a1651c79d467c2b883d7566d51b985ab,FC(F)(F)c1ccc2-c3c4ccccc4ncn3->[Ir+3]34(<-S=P([S-]->3)(c3ccccc3)c3ccccc3)(<-[c-]2c1)<-[c-]1cc(C(F)(F)F)ccc1-c1c2ccccc2ncn->41,xyz/GOHFUH.xyz,2875,a8c2d450a102d30191365d13f3b4e4ab3620ae9f037c25151a9ef14df5366924,82,4bc297cc2dd1104f034142fbcd67c3e0a28520efd658eedc6eb5a22009c195e9,"[""[H]C1NC2C([H])C([H])C([H])C([H])C2C(C2CC([H])C(C(F)(F)F)C([H])C2[H])N1"",""[H]C1NC2C([H])C([H])C([H])C([H])C2C(C2CC([H])C(C(F)(F)F)C([H])C2[H])N1"",""S"",""S""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
30,True,1,MAFHEI,2,Ir,6,a2b120cb1c673d61c16548f3d08a8357054b9f86d96c114f2e4235710c31bc43,Fc1ccc2-c3ccccn3->[Ir+3]34(<-[c-]2c1)(<-[c-]1cc(F)ccc1-c1ccccn->31)<-[c-]1cccc2cccc(P->4(c3ccccc3)c3ccccc3)c21,xyz/MAFHEI.xyz,2805,92043c960456ef5903d8d8cc59d502792ab3243d86446c48027779869a75fb91,80,4f126a840c07582d5e95fc27dcf81b7555038240c3997e0e67d9072343ca844d,"[""[H]C1CC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1F"",""[H]C1CC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1F"",""[H]C1CC2CC([H])C([H])C([H])C2C([H])C1[H]"",""P""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
31,True,4,MURMIW,0,Ir,6,6e57d2e7e2b83d03ff96b305b18910a40785bd91e8ba4c4f9ff2b3337b515e28,O=C=[N-]->[Ir+3]12(<-[c-]3ccccc3-c3ccccn->13)(<-[c-]1ccccc1-c1ccccn->21)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,xyz/MURMIW.xyz,2735,039c77afff204a97d981ee094de0d7653d09e2afef4df49c2ca78052353f9d8d,78,50b2ec37a4144c21c90545c4c0362dab498c86a5c0a699d168f14f3641223f4b,"[""[H]C1CC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1[H]"",""[H]C1CC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1[H]"",""NCO"",""P""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
32,True,3,AYOHIG,0,Cr,6,29185e3e6f9519615f251d4cfca36643bf4ae472c6d7365147cddeb7ded44e3f,[O+]#[C-]->[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-P(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1)<-P(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1,xyz/AYOHIG.xyz,2700,b18de67bc2a6e93a580ccf93536d2cda2326bf7b4c7bfae77543ec421a61f55c,77,54ba635a181add862a9f1685875e78ced5aadba16d3f861e9ca6297a7fe841a6,"[""CO"",""CO"",""CO"",""CO"",""P"",""P""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
33,True,2,SIWCUX,2,Pd,4,c3e275dc02e1173f955f89382edfdacd31496936ca27ac44de13304e384c9912,COCCN1=Cc2cccc[c-]2->[Pd+2]<-1(<-[Cl-])<-n1ccccc1,xyz/SIWCUX.xyz,1301,8650950317b03cf496dc2fa46a2149c18152c301d40a692e224fb204cf9c8e3c,37,5a69cd1836da3e9e9dba3342afa4df0052919b2c3121d8f60c60181d0090e3e8,"[""[H]C1CC(C([H])NC([H])([H])C([H])([H])OC([H])([H])[H])C([H])C([H])C1[H]"",""[H]C1NC([H])C([H])C([H])C1[H]"",""Cl""]","[""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
